Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Achalpur,07/03/2025,0.8,Other,2000,2150,2075
,12/03/2025,9.8,Other,2000,2050,2025
,19/03/2025,2.5,Other,2000,2050,2025
,21/03/2025,5.4,Other,2000,2150,2075
Ahmednagar,01/03/2025,1.8,Other,2100,2150,2125
,03/03/2025,2.4,Other,2000,2100,2050
,06/03/2025,2.4,Other,1700,2100,1900
,,,Other,2250,2250,2250
,08/03/2025,4.2,Other,2000,2100,2050
,10/03/2025,5.6,Other,2000,2150,2075
,,,Other,2700,2700,2700
,12/03/2025,3.8,Other,1900,2200,2050
,18/03/2025,4.2,Other,2000,2050,2025
,19/03/2025,3,Other,1950,2150,2050
,20/03/2025,1.6,Other,2000,2050,2025
,21/03/2025,2,Other,2050,2050,2050
,,,Other,2300,2300,2300
,22/03/2025,2.8,Other,2000,2100,2050
,24/03/2025,3,Other,1800,2050,1925
Akluj,06/03/2025,3.2,Yellow,2250,2250,2250
,07/03/2025,3,Other,2400,2400,2400
,,,Yellow,2380,2400,2400
,22/03/2025,1.1,Yellow,2300,2300,2300
Akola,18/03/2025,0.5,Yellow,1920,1920,1920
,21/03/2025,0.2,Yellow,1950,1950,1950
Amalner,01/03/2025,250,Deshi Red,1711,2200,2200
,03/03/2025,250,Deshi Red,1819,2200,2200
,04/03/2025,150,Deshi Red,1900,2200,2200
,06/03/2025,200,Deshi Red,1700,2165,2165
,07/03/2025,150,Deshi Red,1805,2200,2200
,08/03/2025,30,Deshi Red,1750,2200,2200
,10/03/2025,100,Deshi Red,1795,2211,2211
,11/03/2025,50,Deshi Red,1700,2224,2224
,12/03/2025,100,Deshi Red,1776,2200,2200
,13/03/2025,25,Deshi Red,1836,2124,2124
,15/03/2025,25,Deshi Red,1575,2180,2180
Amarawati,01/03/2025,0.3,Deshi Red,2150,2224,2187
,03/03/2025,0.3,Deshi Red,2100,2224,2162
,04/03/2025,0.3,Deshi Red,2050,2224,2137
,05/03/2025,0.3,Deshi Red,2100,2224,2162
,06/03/2025,0.3,Deshi Red,2100,2224,2162
,07/03/2025,3.6,Deshi Red,2100,2224,2162
,08/03/2025,0.4,Deshi Red,2050,2224,2137
,10/03/2025,0.3,Deshi Red,2050,2224,2137
,11/03/2025,1.1,Deshi Red,2100,2224,2162
,12/03/2025,0.3,Deshi Red,2100,2224,2162
,15/03/2025,0.3,Deshi Red,2050,2224,2137
,17/03/2025,0.3,Deshi Red,2100,2224,2162
,18/03/2025,0.3,Deshi Red,2050,2224,2137
,19/03/2025,0.3,Deshi Red,2100,2224,2162
,20/03/2025,0.3,Deshi Red,2050,2224,2137
,21/03/2025,0.3,Deshi Red,2100,2224,2162
,22/03/2025,0.3,Deshi Red,2225,2300,2262
,24/03/2025,0.3,Deshi Red,2050,2224,2137
,25/03/2025,0.3,Deshi Red,2100,2224,2162
,26/03/2025,0.3,Deshi Red,2100,2224,2162
,27/03/2025,0.3,Deshi Red,2100,2224,2162
Ambad (Vadigodri),10/03/2025,1.4,Deshi Red,1811,1911,1811
,17/03/2025,1.5,Yellow,2036,2036,2036
Baramati,06/03/2025,27.5,Deshi Red,2225,2300,2260
,,,Deshi Red,2000,2224,2200
,10/03/2025,29.2,Deshi Red,2000,2224,2210
,,,Deshi Red,2225,2350,2275
,,,Other,2600,2600,2600
,17/03/2025,30.1,Deshi Red,2050,2224,2150
,,,Deshi Red,2225,2276,2251
,20/03/2025,17.8,Deshi Red,2100,2224,2200
,,,Deshi Red,2225,2311,2251
,,,Other,2000,2000,2000
,24/03/2025,80.9,Deshi Red,2225,2400,2260
,,,Deshi Red,2100,2224,2200
Barshi,01/03/2025,17.6,Other,3050,3050,3050
,07/03/2025,17,Other,3050,3050,3050
,20/03/2025,9.4,Other,2500,3700,3650
,21/03/2025,3,Other,3650,3650,3650
Barshi(Vairag),08/03/2025,15.7,Other,2100,2200,2200
,10/03/2025,2.1,Other,2251,2251,2251
,17/03/2025,5.7,Other,2275,2275,2275
,,,Other,2000,2100,2100
,21/03/2025,8,Other,1800,2200,2000
,24/03/2025,1.6,Other,2245,2245,2245
Beed,03/03/2025,2,Other,2150,2150,2150
,17/03/2025,3.5,Other,2090,2110,2100
,20/03/2025,3.6,Other,2211,2211,2211
,22/03/2025,2.4,Other,2193,2193,2193
,24/03/2025,3,Other,2175,2175,2175
Bhokar,22/03/2025,2.6,Other,2100,2100,2100
Bhokardan,01/03/2025,1.7,Yellow,1800,2150,2100
,08/03/2025,2.9,Yellow,1950,2100,2000
,22/03/2025,4.8,Yellow,1900,2150,2100
Bhokardan(Pimpalgaon Renu),04/03/2025,2.3,Yellow,2000,2100,2050
,11/03/2025,1.9,Yellow,1900,2200,2100
Buldhana,01/03/2025,41.6,Yellow,1650,2200,2000
